"mechanism","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"Class A betalactamases",2721.31147540984,923.076923076926,2055.55555555556,946.428571428573,3302.63157894737,153.846153846154,1406.25,327.586206896552,1636.36363636364,754.385964912282,2734.375,1777.77777777778,1057.14285714286,476.190476190478,1038.46153846154,600.000000000003,1290.32258064517,870.967741935487,1484.84848484849,4105.88235294118,1307.69230769231,1090.90909090909,454.545454545456,750.000000000002,932.432432432434,2316.32653061225,589.506172839506,1200,1420.45454545455,3246.26865671643,1400,300.000000000001
"Class C betalactamases",245.901639344263,0,27.7777777777778,0,671.052631578948,1210.52631578947,20.8333333333334,0,602.272727272728,245.61403508772,62.5000000000001,111.111111111111,171.428571428572,0,153.846153846155,0,64.5161290322583,64.5161290322583,0,82.3529411764707,92.3076923076925,727.272727272729,90.9090909090912,0,135.135135135135,10.2040816326531,1598.76543209877,1128.57142857143,56.8181818181819,776.119402985075,40.0000000000001,40.0000000000001
"Tetracycline resistance major facilitator superfamily MFS efflux pumps",180.327868852459,76.9230769230771,270875,160.714285714286,1421.05263157895,56.6801619433199,614.583333333334,299810.344827587,4068.18181818182,122.80701754386,150562.5,121500,257.142857142858,142.857142857143,423.076923076925,80.0000000000004,161.290322580646,161.290322580646,303.030303030304,243129.411764706,446.153846153847,1345.45454545455,242.424242424243,175.000000000001,276554.054054054,346.938775510204,157.407407407407,357.142857142858,193.181818181818,537.313432835821,680.000000000001,220.000000000001
"Multi-drug efflux pumps",3147.54098360656,0,138.888888888889,125,13500,10109.3117408907,322.916666666667,189.655172413794,1420.45454545455,122.80701754386,1390.625,1750.00000000001,257.142857142858,142.857142857143,269.23076923077,280.000000000001,225.806451612904,11161.2903225807,151.515151515152,1376.4705882353,92.3076923076925,818.18181818182,181.818181818182,0,364.864864864865,132.65306122449,14962.962962963,414.285714285715,147.727272727273,2701.49253731344,400.000000000001,40.0000000000001
"Aminoglycoside O-phosphotransferases",0,0,0,0,0,0,270.833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aminoglycoside N-acetyltransferases",311.475409836066,102.564102564103,69.4444444444446,0,250,16.1943319838057,41.6666666666667,0,170.454545454546,87.7192982456142,359.375000000001,111.111111111111,57.1428571428573,285.714285714287,38.4615384615386,0,32.2580645161292,0,212.121212121213,164.705882352941,215.384615384616,163.636363636364,60.6060606060608,50.0000000000002,162.162162162162,51.0204081632654,24.6913580246914,100,68.1818181818183,313.432835820896,60.0000000000001,20
"Undecaprenyl pyrophosphate phosphatase",0,0,0,0,0,194.331983805668,62.5000000000001,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.666666666667,0,0,0,0,40.0000000000001
"Penicillin binding protein",0,0,0,0,0,765.182186234818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.814814814815,0,0,0,0,0
"Lincosamide nucleotidyltransferases",0,38564.1025641027,26694.4444444445,0,0,8.09716599190284,0,0,0,0,484.375000000001,416.666666666668,0,0,0,640.000000000003,0,32.2580645161292,60.6060606060608,29482.3529411765,0,36.3636363636364,60.6060606060608,0,0,26724.4897959184,0,0,1397.72727272727,0,0,0
"MDR regulator",229.508196721312,0,1555.55555555556,107.142857142857,368.42105263158,6008.09716599191,250,1465.51724137931,363.636363636364,157.894736842106,312.500000000001,888.888888888892,142.857142857143,0,0,80.0000000000004,64.5161290322583,774.1935483871,0,800.000000000001,30.7692307692308,181.818181818182,30.3030303030304,0,1135.13513513514,51.0204081632654,6774.69135802469,42.8571428571429,79.5454545454546,611.940298507463,40.0000000000001,280.000000000001
