"class","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"betalactams",181,36,150,53,305,526,137,19,198,57,180,70,43,20,31,15,42,29,49,356,91,102,18,30,79,228,973,170,130,544,76,17
"Tetracyclines",915,2196,22994,538,18672,25,264,33994,2356,12406,10243,4510,896,62,15,579,1080,1694,159,26821,35,1421,1303,400,51593,6690,72,18808,6481,1973,5172,33
"Multi-drug resistance",206,0,122,13,1054,3981,55,96,157,16,109,95,14,6,7,9,9,370,5,185,8,55,7,0,111,18,7043,32,20,444,22,16
"Aminoglycosides",34,16,21,13,45,951,114,10,37,10,40,17,15,29,19,5,14,8,28,35,83,19,4,9,37,47,1829,46,62,97,24,19
"Bacitracin",0,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,2
"MLS",8,1520,1966,0,16,16,23,9,21,12,31,24,7,2,0,16,2,42,10,2614,6,12,2,0,10,2625,23,5,126,6,2,6
"Cationic antimicrobial peptides",3,2,101,0,24,107,0,0,7,2,5,5,0,0,0,0,0,2,0,239,0,3,0,0,1,7,163,5,0,12,0,0
"Elfamycins",1,0,0,0,1,5,0,1,2,0,0,1,0,0,1,0,0,1,1,2,0,1,0,0,0,1,7,1,0,4,0,0
"Fosfomycin",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
"Nitrofuran",0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0
"Aminocoumarins",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Fluoroquinolones",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Phenicol",0,0,0,0,0,2,39,2,0,0,4,0,4,5,0,2,5,0,0,1,8,0,0,0,2,6,0,2,4,1,2,2
"Triclosan",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trimethoprim",2,2,0,4,1,2,6,0,0,2,0,0,2,4,2,2,0,0,2,2,6,0,2,2,8,2,2,0,4,0,0,2
"Rifampin",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2
"Sulfonamides",0,5,2,6,0,7,27,12,11,7,11,0,3,7,5,0,9,0,12,4,31,3,6,7,27,2,26,20,6,4,4,1
