"","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"1090|DQ303459.3|DQ303459|betalactams|Class_A_betalactamases|CTX",0,0,0,0,0,40.4858299595142,0,0,170.454545454546,0,156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.040816326531,0,285.714285714286,136.363636363637,201.492537313433,0,0
"1268|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX",1540.98360655738,358.97435897436,680.555555555557,160.714285714286,1750,0,0,0,727.272727272728,245.61403508772,1125,972.222222222225,400.000000000001,0,0,400.000000000002,0,645.161290322583,0,823.529411764707,0,545.454545454547,0,0,0,387.755102040817,0,342.857142857143,272.727272727273,1328.35820895522,0,0
"1298|KM926622.1|KM926622|betalactams|Class_C_betalactamases|ACT",0,0,0,0,0,24.2914979757085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0270270270271,0,6.17283950617284,0,34.0909090909091,0,0,0
"1482|HF953351.1|HF953351|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH",0,0,28763.8888888889,0,236.842105263158,0,0,32189.6551724139,363.636363636364,0,16375,13833.3333333334,0,0,0,0,0,0,0,25458.8235294118,0,0,0,0,29067.5675675676,0,0,0,0,0,0,0
"1493|AY339625.2|AY339625|betalactams|Class_C_betalactamases|CMY",0,0,0,0,0,174.089068825911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.925925925926,0,0,0,0,0
"1650|U36911.1|SAU36911|betalactams|Class_A_betalactamases|TEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0149253731344,0,0
"1737|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX",606.557377049181,0,194.444444444445,0,934.210526315791,0,0,0,227.272727272728,0,906.250000000002,555.555555555557,0,0,0,0,0,0,0,435.294117647059,0,0,0,0,0,163.265306122449,0,0,0,634.328358208956,0,0
"1821|GQ149347.1|GQ149347|betalactams|Class_A_betalactamases|TEM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.2098765432099,0,0,74.6268656716419,0,0
"222|JQ394987.1|JQ394987|Multi-drug_resistance|Multi-drug_efflux_pumps|MDFA",0,0,0,0,0,226.720647773279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.58024691358,0,0,0,0,0
"511|unknown_id|unknown_name|betalactams|Class_C_betalactamases|ACC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,216.417910447761,0,0
