"","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"CTX",2147.54098360656,358.97435897436,875.000000000001,160.714285714286,2684.21052631579,40.4858299595142,0,0,1125,245.61403508772,2187.5,1527.77777777778,400.000000000001,0,0,400.000000000002,0,645.161290322583,0,1258.82352941177,0,545.454545454547,0,0,0,653.061224489797,0,628.57142857143,409.09090909091,2194.02985074627,0,0
"ACT",0,0,0,0,0,40.4858299595142,0,0,68.1818181818183,0,0,0,57.1428571428573,0,76.9230769230773,0,0,0,0,0,0,0,0,0,135.135135135135,10.2040816326531,40.1234567901235,57.1428571428572,56.8181818181819,0,40.0000000000001,20
"TETH",0,51.2820512820514,267444.444444445,0,1250,16.1943319838057,52.0833333333334,295913.793103449,3920.45454545455,17.5438596491228,148875,119972.222222223,0,23.8095238095239,0,0,64.5161290322583,96.7741935483875,0,239823.529411765,0,1181.81818181818,0,0,272864.864864865,20.4081632653061,9.25925925925926,0,11.3636363636364,7.46268656716418,40.0000000000001,140
"CMY",0,0,0,0,0,591.093117408907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,972.222222222223,0,0,0,0,0
"TEM",491.803278688525,487.179487179488,375.000000000001,785.714285714287,539.473684210527,113.36032388664,1093.75,327.586206896552,465.909090909091,473.684210526317,546.875000000001,250.000000000001,600.000000000002,380.952380952382,1038.46153846154,160.000000000001,1096.77419354839,161.290322580646,1484.84848484849,364.705882352942,1307.69230769231,490.909090909092,393.939393939395,750.000000000002,932.432432432434,1612.24489795919,589.506172839506,542.857142857144,1011.36363636364,1037.31343283582,1400,180
"MDFA",0,0,0,0,0,417.004048582996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.864197530864,0,11.3636363636364,0,0,0
"ACC",245.901639344263,0,0,0,671.052631578948,0,0,0,522.727272727273,245.61403508772,31.2500000000001,111.111111111111,114.285714285715,0,0,0,64.5161290322583,64.5161290322583,0,70.5882352941178,0,727.272727272729,30.3030303030304,0,0,0,0,1071.42857142857,0,761.194029850747,0,0
"APH3-DPRIME",0,0,0,0,0,0,166.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAC6-PRIME",278.688524590164,102.564102564103,55.5555555555556,0,197.368421052632,12.1457489878543,41.6666666666667,0,147.727272727273,87.7192982456142,312.500000000001,83.3333333333336,57.1428571428573,285.714285714287,0,0,32.2580645161292,0,151.515151515152,105.882352941177,92.3076923076925,145.454545454546,60.6060606060608,25.0000000000001,135.135135135135,40.8163265306123,21.6049382716049,85.7142857142859,68.1818181818183,268.656716417911,60.0000000000001,20
"APH6",0,0,0,0,0,0,104.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BACA",0,0,0,0,0,194.331983805668,62.5000000000001,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.666666666667,0,0,0,0,40.0000000000001
"AMPH",0,0,0,0,0,238.866396761134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0
"BLAA",0,0,319.444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305.88235294118,0,0,0,0,0,0,0,0,0,0,0,0
"BLAEC",0,0,0,0,0,578.947368421053,20.8333333333334,0,0,0,0,0,0,0,76.9230769230773,0,0,0,0,0,0,0,0,0,0,0,577.160493827161,0,0,14.9253731343284,0,0
"PBP2",0,0,0,0,0,526.315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564.814814814815,0,0,0,0,0
"EMEA",49.1803278688526,0,0,0,26.3157894736842,8.09716599190284,0,0,0,0,0,0,0,0,0,0,0,161.290322580646,0,11.764705882353,0,18.1818181818182,0,0,0,0,70.9876543209877,0,0,0,0,0
"LNUA",0,38538.4615384617,26694.4444444445,0,0,8.09716599190284,0,0,0,0,484.375000000001,416.666666666668,0,0,0,640.000000000003,0,32.2580645161292,60.6060606060608,29470.5882352942,0,36.3636363636364,60.6060606060608,0,0,26714.2857142857,0,0,1397.72727272727,0,0,0
"EMRA",0,0,0,35.7142857142858,0,785.425101214575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0270270270271,0,1188.27160493827,0,0,37.3134328358209,0,0
"MDTE",0,0,0,0,0,765.182186234818,20.8333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4081632653061,1385.8024691358,0,0,14.9253731343284,0,0
"CRP",196.72131147541,0,1527.77777777778,35.7142857142858,328.947368421053,336.032388663968,0,1431.03448275862,340.909090909091,122.80701754386,281.250000000001,722.222222222225,57.1428571428573,0,0,0,0,709.677419354842,0,800.000000000001,0,163.636363636364,30.3030303030304,0,1094.5945945946,0,410.493827160494,42.8571428571429,11.3636363636364,440.298507462687,20,0
"MDTN",0,0,27.7777777777778,17.8571428571429,26.3157894736842,275.303643724696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4081632653061,496.913580246914,57.1428571428572,0,14.9253731343284,0,0
"EMRR",0,0,13.8888888888889,0,0,502.024291497976,0,0,0,0,0,0,0,0,0,0,0,32.2580645161292,0,0,0,0,0,0,0,0,453.703703703704,0,0,0,0,0
"EMRY",0,0,0,0,0,348.178137651822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.296296296296,0,0,0,20,0
"EMRK",0,0,0,0,0,441.295546558705,20.8333333333334,0,0,0,0,0,28.5714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0,595.679012345679,0,0,0,0,0
"TOLC",32.7868852459017,0,0,0,0,437.246963562753,0,0,22.7272727272728,0,31.2500000000001,27.7777777777779,0,0,0,40.0000000000002,32.2580645161292,32.2580645161292,60.6060606060608,23.5294117647059,0,18.1818181818182,0,0,0,0,820.987654320988,14.2857142857143,0,67.1641791044777,0,0
"HNS",16.3934426229509,0,0,0,0,178.137651821862,0,0,0,0,15.625,83.3333333333336,28.5714285714287,0,0,0,0,0,0,0,0,0,0,0,40.5405405405406,0,271.604938271605,0,0,29.8507462686567,0,40.0000000000001
"EVGA",0,0,0,0,0,372.469635627531,20.8333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.740740740741,0,0,14.9253731343284,0,0
"CPXA",16.3934426229509,0,0,0,0,639.676113360324,0,0,0,17.5438596491228,0,27.7777777777779,28.5714285714287,0,0,0,64.5161290322583,0,0,0,30.7692307692308,0,0,0,0,0,805.555555555556,0,68.1818181818183,37.3134328358209,0,120
"MDTG",0,0,0,0,0,259.109311740891,83.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,11.764705882353,0,0,0,0,0,0,651.234567901235,0,0,0,0,0
"MARA",0,0,0,0,0,198.38056680162,20.8333333333334,0,0,0,0,0,0,0,0,80.0000000000004,0,0,0,0,0,0,0,0,0,0,237.654320987654,0,0,0,0,0
"MDTK",0,0,0,0,0,161.943319838057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.913580246914,0,0,0,0,0
"BAER",0,0,13.8888888888889,0,0,510.121457489879,0,0,0,17.5438596491228,15.625,55.5555555555557,0,0,0,0,0,0,0,0,0,18.1818181818182,0,0,0,10.2040816326531,549.382716049383,0,0,22.3880597014926,0,0
"ACRD",49.1803278688526,0,0,0,13.1578947368421,1331.98380566802,20.8333333333334,0,11.3636363636364,0,0,0,0,0,0,0,0,32.2580645161292,0,0,0,0,0,0,0,0,2114.1975308642,0,0,37.3134328358209,40.0000000000001,80.0000000000002
"GADX",0,0,0,0,0,72.8744939271255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.716049382716,0,0,7.46268656716418,0,0
"MDTH",0,0,0,0,0,283.400809716599,31.25,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.728395061729,0,0,14.9253731343284,0,0
"PHOQ",0,0,0,0,0,441.295546558705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.283950617284,0,0,0,0,0
"MDTA",0,0,0,0,0,457.48987854251,62.5000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.962962962963,0,0,0,120,0
"MDTB",98.3606557377051,0,0,0,131.578947368421,1582.995951417,20.8333333333334,0,45.4545454545455,0,31.2500000000001,0,28.5714285714287,0,0,0,32.2580645161292,129.032258064517,0,58.8235294117648,0,109.090909090909,0,0,0,0,1780.86419753086,28.5714285714286,0,171.641791044776,20,0
"MDTC",32.7868852459017,0,0,0,0,1186.23481781377,0,0,45.4545454545455,0,31.2500000000001,0,28.5714285714287,0,0,0,0,0,0,0,0,0,0,0,27.0270270270271,0,1978.3950617284,0,0,44.7761194029851,80.0000000000002,0
"ARNA",0,0,0,0,0,425.101214574899,0,0,0,0,0,0,0,0,0,0,0,64.5161290322583,0,0,0,0,0,0,0,0,500,0,0,0,0,0
"EVGS",0,0,0,71.4285714285716,0,817.813765182186,83.3333333333334,34.4827586206897,22.7272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4081632653061,990.740740740741,0,0,29.8507462686567,0,80.0000000000002
"EMRB",16.3934426229509,0,13.8888888888889,0,52.6315789473685,615.384615384616,0,0,45.4545454545455,0,0,111.111111111111,0,0,0,0,32.2580645161292,193.548387096775,0,0,0,0,0,0,0,0,577.160493827161,14.2857142857143,0,59.7014925373135,0,0
"ACRS",0,0,0,0,0,194.331983805668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.296296296296,0,0,0,0,0
"ACRE",0,0,0,0,0,846.153846153846,31.25,0,0,0,0,0,0,0,0,0,0,0,30.3030303030304,0,0,0,0,0,0,0,1006.17283950617,0,0,0,0,0
"ACRF",0,0,13.8888888888889,0,13.1578947368421,1421.05263157895,41.6666666666667,0,11.3636363636364,0,31.2500000000001,55.5555555555557,0,0,0,0,32.2580645161292,64.5161290322583,0,0,30.7692307692308,54.5454545454547,0,0,13.5135135135135,0,2123.45679012346,14.2857142857143,22.7272727272728,0,0,40.0000000000001
"rosB",49.1803278688526,51.2820512820514,1277.77777777778,0,184.21052631579,0,0,0,56.8181818181819,0,31.2500000000001,138.888888888889,0,0,0,0,0,0,0,2294.11764705883,0,54.5454545454547,0,0,0,61.2244897959184,0,71.4285714285715,0,59.7014925373135,0,0
"rosA",0,0,125,0,131.578947368421,0,0,0,22.7272727272728,35.0877192982457,0,0,0,0,0,0,0,0,0,517.64705882353,0,0,0,0,0,10.2040816326531,0,0,0,29.8507462686567,0,0
"MDTD",0,0,0,0,0,279.352226720648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.814814814815,0,0,0,0,0
"CPXAR",0,0,0,0,0,489.878542510122,0,0,0,0,0,0,0,0,0,0,0,32.2580645161292,0,0,0,0,0,0,0,0,540.123456790124,0,0,0,0,0
"MDTL",0,0,0,0,0,234.817813765182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.703703703704,0,0,0,0,0
"ASMA",0,0,0,0,0,368.421052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.407407407407,0,0,0,0,0
"ROSB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811.764705882354,0,0,0,0,0,0,0,0,0,0,0,0
"ROSA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.823529411765,0,0,0,0,0,0,0,0,0,0,0,0
"VATF",32.7868852459017,0,402.777777777778,0,0,0,0,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,1082.35294117647,0,0,0,0,0,0,6.17283950617284,0,0,0,0,0
"GADW",0,0,0,0,0,85.0202429149798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.58024691358,0,0,0,0,0
"QACH",2360.65573770492,0,0,0,13052.6315789474,8.09716599190284,0,17.2413793103449,943.181818181819,0,937.500000000002,972.222222222225,0,95.2380952380955,0,0,0,10387.0967741936,60.6060606060608,0,0,527.272727272728,0,0,81.0810810810812,0,0,0,22.7272727272728,1671.64179104478,0,0
"ACRB",163.934426229509,0,13.8888888888889,0,52.6315789473685,255.060728744939,0,17.2413793103449,56.8181818181819,70.1754385964914,31.2500000000001,83.3333333333336,57.1428571428573,0,0,0,0,0,0,70.5882352941178,0,54.5454545454547,60.6060606060608,0,27.0270270270271,0,709.876543209877,114.285714285714,0,283.582089552239,20,0
"ACRA",0,0,0,0,0,323.886639676113,0,0,0,0,31.2500000000001,55.5555555555557,57.1428571428573,0,0,0,0,0,30.3030303030304,0,0,0,0,0,0,0,537.037037037037,0,0,0,0,0
"MDTM",0,0,0,0,0,113.36032388664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6060606060608,0,0,40.8163265306123,500,0,0,0,0,0
