"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Lactobacillales",3114.59353574926,3517.11204875762,25844.1558441559,1972.8065674705,12411.4860864417,6425.94075260208,14143.8240270728,10052.0446096654,5816.23723869713,10979.1356184799,11811.2858464385,2362.46098974588,11008.0536912752,4220.25524907369,1910.9232769831,11721.8200620476
"Xanthomonadales",143.976493633692,95.0148460696984,45.8365164247517,458.696767573114,53.2859680284192,0,10.1522842639594,55.7620817843867,26.7379679144385,409.339294585196,123.034227567068,127.953633526527,68.9038031319911,163.44174557431,26.0078023407022,63.081695966908
"Acidobacteriales",107.737512242899,85.0132833255196,0,67.4704976911237,9.47306098283008,0,0,0,12.6397666504618,32.2901142573274,0,12.037449843959,150.782997762864,155.207904487443,0,7.75594622543951
"Bacteroidales",11.9164218086843,0,29.7937356760886,261.416110826065,7.10479573712256,0,1.69204737732657,45.8488228004957,0,0,0,70.8872046366474,0,0,0,174.250258531541
"Solirubrobacterales",200.457068233758,186.435380528208,0,127.501282709082,0,0,0,0,0,219.572776949826,39.7779833487512,32.5456977262595,163.31096196868,291.066282420749,0,34.6432264736298
"Opitutales",0,0,4.58365164247517,6.92662904053361,0,0,0,0,0,0,0,0,0,0,0,3.61944157187177
"[Saprospirales]",108.22722820764,99.2342553523988,17.5706646294882,12.0574653668548,0,0,0,0,0,0,0,0,0,24.7015232606011,0,0
"Enterobacteriales",55.9908586353248,60.1656508829505,35.9052711993889,85.9415084658799,296.03315571344,267.413931144916,116.751269035533,597.273853779431,169.17841516772,357.178340784898,95.2821461609621,162.728488631297,12.0805369127517,155.619596541787,360.858257477243,845.915201654602
"Caulobacterales",39.6669931439765,29.8484138146585,0,28.2195997947665,0,0,0,0,0,11.9225037257824,0,0,0,19.7612186084809,0,0
"Rhodospirillales",84.5576232451844,72.1987810595406,0,86.9676757311442,0,0,0,0,9.23675255226058,64.5802285146548,0,16.4957646009808,51.9015659955257,85.2202552490737,0,0
"[Chthoniobacterales]",197.845249755142,210.657915299266,0,45.6644433042586,0,0,0,0,0,129.16045702931,0,0,59.0604026845638,54.7550432276657,0,0
"Pseudomonadales",98.1064316030036,65.3227066729176,67.2268907563025,230.374551051821,235.642391947898,215.372297838271,73.3220530174845,177.199504337051,92.3675255226058,97.8638847491307,158.186864014801,316.986179224253,105.592841163311,24.2898312062577,159.947984395319,404.860392967942
"Pasteurellales",0,3.59431161118925,0,27.4499743458184,0,16.0128102481986,71.6300056401579,81.7843866171004,0,0,0,58.8497547926884,0,5.35199670646357,0,0
"Neisseriales",41.2993796931113,120.643850601657,0,21.8060543868651,597.986974541149,24.0192153722979,164.692611393119,0,160.427807486631,1014.90312965723,79.5559666975023,68.6580472581364,22.3713646532439,46.5212021407987,171.651495448635,1159.77249224405
"Gemmatimonadales",9.95755794972249,0,0,47.7167778347871,0,0,9.58826847151721,0,0,0,0,0,0,16.4676821737341,0,0
"Clostridiales",111.98171727065,31.5674324113143,71.8105423987777,379.425346331452,118.413262285376,183.346677341874,92.4985899605189,255.266418835192,115.702479338843,194.237456532539,278.445883441258,745.876058849755,302.908277404922,167.558666117744,363.459037711313,333.505687693899
"Gaiellales",200.783545543585,150.023441162682,84.0336134453782,44.8948178553104,0,29.6236989591673,0,0,0,88.4252359662196,0,27.6415514935355,0,108.686702346645,0,0
"Erysipelotrichales",0,0,0,15.1359671626475,0,12.8102481985589,0,0,0,0,0,0,0,0,0,6.2047569803516
"Burkholderiales",123.081945804767,143.459915611814,61.1153552330023,196.254489481786,63.3510953226762,44.0352281825461,0,68.1536555142504,0,153.999006458023,38.8529139685477,126.61613909942,79.1946308724832,86.8670234664471,136.540962288687,114.788004136505
"Gemellales",0,0,0,14.3663417136993,5.9206631142688,7.20576461168935,0,0,0,0,0,6.24164065983059,0,0,0,0
"Gemmatales",50.4407443682664,52.8207532426942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxococcales",29.5461965393405,40.9438974839819,0,92.3550538737814,0,0,0,24.7831474597274,0,49.1803278688525,0,22.7374052608114,0.894854586129754,29.6418279127213,0,0
"N1423WL",39.0140385243226,8.75136740115643,64.935064935065,0,0,0,0,0,0,54.6448087431694,0,0,0,50.2264306298889,0,0
"Actinomycetales",378.876918054195,371.933114549148,67.2268907563026,197.537198563366,76.9686204854944,60.0480384307446,16.9204737732657,0,0,228.017883755589,0,111.457868925546,0,283.655825442569,0,142.192347466391
"[Pedosphaerales]",40.3199477636304,25.0039068604469,0,14.8794253463315,0,0,0,0,0,31.2965722801788,0,0,0,34.1704405104982,0,0
"FW68",0,7.96999531176746,0,0,0,0,0,0,0,0,0,0,0,15.232606010704,0,0
"GW-28",1.14267058439438,0,0,3.07850179579271,0,0,0,0,0,0,0,0,0,3.70522848909016,0,0
"DS-18",19.2621612797911,0,0,15.3925089789636,0,0,0,0,0,0,0,9.80829246544806,0,9.46891724989708,0,0
"BD7-3",0,0,0,0,0,0,0,0,1.45843461351483,0,0,0,0,0,0,0
"DS-100",3.42801175318315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0319-7L14",26.2814234410708,23.5974370995468,0,0,0,0,0,0,0,34.2771982116245,0,0,0,0,0,0
"Bacillales",122.592229840026,135.95874355368,126.81436210848,143.150333504361,132.622853759621,201.761409127302,37.2250423011844,260.223048327138,22.362664073894,130.650769995032,37.9278445883441,199.732501114579,68.9038031319911,92.630712227254,17.555266579974,182.00620475698
"Sphingomonadales",97.2902383284362,96.8901390842319,106.951871657754,103.386351975372,30.7874481941978,0,0,30.9789343246593,0,136.115250869349,0,0,0,83.5734870317003,0,12.9265770423992
"Acidimicrobiales",10.7737512242899,17.9715580559462,0,12.5705489994869,0,0,0,0,0,23.8450074515648,0,20.5082478823005,0,31.700288184438,0,0
"Ellin329",10.7737512242899,25.7852789498359,0,6.15700359158543,0,0,0,0,0,0,0,34.3290236290682,0,7.82214903252367,0,0
"RB41",118.511263467189,106.579152992655,0,60.287326834274,0,0,0,0,0,0,0,0,0,38.699053108275,0,0
"Alteromonadales",2.44857982370225,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,0,0,20.6825232678387
"Fusobacteriales",0,0,0,6.15700359158543,0,0,0,30.9789343246593,0,0,0,0,0,0,0,0
"Turicibacterales",7.18250081619327,0,0,60.54386865059,0,0,0,0,18.4735051045212,0,28.677150786309,0,0,0,0,0
"Solibacterales",23.9960822722821,22.3472417565245,0,0,0,0,0,0,0,27.819175360159,0,32.5456977262595,0,24.7015232606011,0,0
"Rubrobacterales",66.6013712047013,64.8538834192843,16.0427807486631,47.460236018471,28.4191829484902,0,23.1246474901297,53.2837670384139,16.0427807486631,0,0,48.1497993758359,0,68.3408810209963,0,12.9265770423992
"Nitrospirales",30.8521057786484,35.4742928582591,0,0,0,0,0,0,0,10.4321907600596,0,0,0,0,0,6.72182006204757
"Rhizobiales",198.987920339536,248.788873261447,40.488922841864,310.672139558748,57.4304322084074,20.8166533226581,0,0,42.29460379193,101.341281669151,0,108.337048595631,140.492170022371,402.634829147798,76.7230169050715,128.748707342296
"Holophagales",1.79562520404832,0,0,0,0,0,0,0,0,5.46448087431694,0,2.67498885421311,0,0,0,0
"Vibrionales",64.805746000653,8.28254414752305,67.2268907563026,33.8635197537199,49.7335701598579,101.681345076061,113.931190073322,434.944237918216,11198.347107438,1073.02533532042,456.984273820537,336.602764155149,335.123042505593,7948.53849320708,25217.8153446034,23.2678386763185
"Cytophagales",0,12.8145022659791,0,46.9471523858389,0,0,0,3.71747211895911,0,0,14.8011100832563,13.3749442710655,0,0,0,0
"Pirellulales",6.85602350636631,0,0,0,0,0,0,0,0,3.47739692001987,0,0,0,0,0,0
"Ellin6067",0,0,0,0,0,0,0,19.8265179677819,0,0,0,11.1457868925546,0,0,0,0
"Aeromonadales",15.0179562520405,0,29.7937356760886,26.4238070805541,0,0,0,63.1970260223049,0,30.7998012916046,24.9768732654949,28.979045920642,8.94854586129754,34.9938246191849,11.703511053316,39.2967942088935
"FAC88",3.26477309826967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosomonadales",11.1002285341169,12.9707766838569,0,130.83632632119,0,0,0,0,0,0,0,0,0,43.2276657060519,0,0
"Flavobacteriales",4.40744368266405,5.62587904360056,0,10.2616726526424,52.6939017169923,0,0,0,0,0,0,0,0,0,0,19.6483971044467
"RF39",0,3.90686044694483,0,3.59158542842483,0,0,0,0,0,0,0,0,0,0,0,0
"WD2101",17.7930133855697,20.1593999062354,0,0,0,0,0,0,0,0,0,3.12082032991529,0,0,0,0
"SC-I-84",42.6052889324192,35.1617440225035,0,13.083632632119,9.47306098283008,0,0,0,0,33.2836562344759,0,0,0,10.7039934129271,0,0
"iii1-15",88.4753509631081,58.1340834505391,0,50.2821959979477,0,0,0,0,0,0,0,0,0,36.2289007822149,0,0
"Synechococcales",0,0,0,0,0,0,0,0,0,0,0,1.33749442710655,0,0,0,0
"Legionellales",13.5488083578191,0,0,5.64391995895331,0,0,0,0,0,20.367610531545,0,16.941596076683,6.26398210290828,23.8781391519144,0,0
"Oceanospirillales",0,0,0,0,0,0,7.89622109419064,3.71747211895911,0,0,25.9019426456984,0,0,0,0,0
"Nitrososphaerales",49.624551093699,44.2256602594155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCA004",0,0,0,2.30887634684454,5.32859680284192,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasmatales",0,0,0,0,0,0,0,0,0,0,8.32562442183164,0,0,0,0,0
"B07_WMSP1",0,11.4080325050789,0,11.2878399179066,0,0,0,0,0,15.3999006458023,0,0,11.1856823266219,5.76368876080692,0,0
"CCU21",3.9177277179236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriales",0,0,0,0,0,0,0,9.91325898389096,0,0,0,32.9915292019617,0,0,0,0
"Sva0725",4.73392099249102,0,0,18.9840944073884,0,0,0,0,1.94457948468644,10.9289617486339,0,0,0,0,0,18.6142709410548
"Bifidobacteriales",5.87659157688541,0,0,3.07850179579271,0,0,0,54.5229244114003,0,0,0,413.731609451627,0,0,0,0
"Ktedonobacterales",2.9382957884427,0,0,2.5654181631606,0,0,0,0,0,0,0,0,0,0,0,0
"Chthonomonadales",3.42801175318315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacteriales",16.9768201110023,6.09470229723394,0,8.97896357106208,0,0,0,0,0,0,0,0,0,27.9950596953479,0,0
"Rhodobacterales",10.7737512242899,0,0,21.8060543868651,0,0,0,0,0,0,0,6.68747213553277,0,9.88060930424043,0,0
"Desulfuromonadales",0,0,0,18.7275525910723,0,0,0,0,0,0,0,9.36246098974588,0,0,0,0
"Ellin5290",3.26477309826967,12.3456790123457,0,0,0,0,0,0,0,0,0,0,0,11.1156854672705,0,0
"CFB-26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03412616339193
"MND1",0,0,12.987012987013,24.6280143663417,0,0,0,0,0,0,0,0,0,0,0,19.1313340227508
"Desulfovibrionales",0,0,0,37.1985633658286,0,0,0,0,0,0,0,1.78332590280874,0,0,0,15.511892450879
"Syntrophobacterales",15.8341495266079,0,0,6.41354540790149,0,0,0,0,0,34.2771982116245,0,7.57913508693714,0,11.5273775216138,0,0
"CV90",0,1.25019534302235,0,1.79579271421242,0,0,0,0,0,0,0,0,0,0,0,0
"11-24",5.22363695723147,0,0,0,0,0,0,0,0,3.47739692001987,0,0,0,5.76368876080692,0,0
"Cenarchaeales",0,0,0,3.84812724474089,0,0,0,0,0,0,0,0,0,0,0,0
"BPC076",0,0,0,0,0,0,0,0,0,0,0,7.13330361123495,0,0,0,0
"Synergistales",0,0,0,0,0,0,0,0,0,0,0,5.7958091841284,0,0,0,0
"Micrococcales",29.5461965393405,20.6282231598687,0,0,0,0,0,0,0,0,0,0,0,18.5261424454508,0,0
