"Species","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Prevotella stercorea",0,0,10.6951871657754,5.38737814263725,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas fragi",15.3444335618674,16.4088138771683,48.1283422459893,32.0677270395074,52.1018354055654,0,47.3773265651438,0,57.3650947982499,37.2578241430701,81.4061054579094,20.9540793580027,44.7427293064877,0,74.7724317295189,117.89038262668
"Haemophilus parainfluenzae",0,3.59431161118925,0,19.2406362237045,0,0,0,0,0,0,0,28.979045920642,0,5.35199670646357,0,0
"Propionibacterium acnes",5.06039830231799,0,0,0,11.8413262285376,0,0,0,0,0,0,21.3999108337049,0,5.35199670646357,0,5.68769389865564
"Bacteroides uniformis",0,0,0,12.0574653668548,0,0,0,0,0,0,0,0,0,0,0,0
"Bulleidia moorei",0,0,0,2.05233453052848,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosovibrio tenuis",11.1002285341169,12.9707766838569,0,99.281682914315,0,0,0,0,0,0,0,0,0,43.2276657060519,0,0
"Stenotrophomonas geniculata",0,0,0,21.8060543868651,29.0112492599171,0,0,0,0,0,0,16.941596076683,0,17.2910662824208,0,41.3650465356774
"Acinetobacter lwoffii",0,5.93842787935615,0,0,0,0,0,58.2403965303594,0,0,0,0,0,0,0,8.79007238883144
"Lactobacillus iners",0,0,0,4.61775269368907,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5511892450879
"Faecalibacterium prausnitzii",3.10153444335619,0,0,11.8009235505387,0,9.60768614891914,0,0,0,6.45802285146548,0,98.0829246544806,0,0,0,0
"Clostridium perfringens",0,0,0,22.8322216521293,0,17.6140912730184,0,0,0,26.3288623944362,31.4523589269195,12.037449843959,52.3489932885906,0,59.8179453836151,0
"Burkholderia bryophila",16.6503428011753,18.5966557274574,0,0,0,0,0,0,0,0,0,63.3080695497102,79.1946308724832,0,68.9206762028609,0
"Clostridium butyricum",0,0,0,20.5233453052848,0,0,0,38.4138785625775,24.3072435585805,0,47.1785383903793,93.6246098974588,57.2706935123043,23.0547550432277,50.0650195058518,0
"Veillonella dispar",0,0,0,6.15700359158543,21.9064535227946,44.0352281825461,0,21.0656753407683,0,0,0,58.8497547926884,0,0,0,0
"Streptomyces reticuliscabiei",12.2428991185113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia coli",0,0,0,13.8532580810672,42.0367081113085,64.0512409927943,0,167.28624535316,0,0,0,0,0,0,80.6241872561769,0
"Janthinobacterium lividum",0,0,0,0,30.7874481941978,44.0352281825461,0,0,0,35.7675111773473,38.8529139685477,45.0289790459207,0,0,67.6202860858258,46.0186142709411
"Paracoccus marcusii",10.7737512242899,0,0,0,0,0,0,0,0,0,0,0,0,9.88060930424043,0,0
"Lactobacillus zeae",0,0,0,0,0,0,0,0,0,0,0,30.7623718234507,0,0,0,0
"Blautia producta",0,0,0,21.549512570549,0,0,0,0,0,0,0,0,17.8970917225951,0,0,34.6432264736298
"Thermobispora bispora",0,0,0,13.5967162647512,0,0,0,0,0,0,0,0,0,0,0,0
"Iodobacter fluviatilis",0,0,0,0,0,24.0192153722979,42.8652002256063,0,0,0,0,0,0,0,47.4642392717815,0
"Sorangium cellulosum",0,0,0,0,0,0,0,0,0,0,0,2.67498885421311,0,0,0,0
"Cenarchaeum symbiosum",0,0,0,3.84812724474089,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides distasonis",1.79562520404832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus clausii",0,0,0,0,0,0,0,0,0,0,0,25.8582255907267,0,0,0,0
"Bacteroides fragilis",0,0,0,10.2616726526424,0,0,0,18.5873605947956,0,0,0,0,0,0,0,0
"Sphingomonas azotifigens",0,13.4395999374902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacterium viridans",0,0,0,0,0,0,40.0451212633954,0,0,0,0,0,0,0,0,0
"Ruminococcus bromii",0,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium stationis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3360910031024
"Bacillus flexus",9.30460333006856,11.8768557587123,0,13.083632632119,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter rhizosphaerae",0,0,0,0,0,0,0,0,0,0,0,29.8707088720464,0,0,0,0
"Desulfovibrio C21_c20",0,0,0,11.0312981015906,0,0,0,0,0,0,0,0,0,0,0,15.511892450879
"Lactobacillus helveticus",0,0,0,0,0,74.4595676541233,29.3288212069938,0,0,0,0,35.6665180561748,0,0,0,0
"Pseudomonas veronii",0,0,0,0,0,0,0,0,35.0024307243559,0,76.7807585568918,53.05394560856,46.5324384787472,0,85.1755526657998,39.2967942088935
"[Clostridium] bifermentans",0,0,0,0,0,0,0,0,0,0,0,0,30.8724832214765,21.4079868258543,11.703511053316,0
"Edaphobacter modestum",2.28534116878877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luteibacter rhizovicinus",10.6105125693764,12.8145022659791,0,0,0,0,0,0,0,27.819175360159,0,0,0,26.3482914779745,0,0
"Geodermatophilus obscurus",6.20306888671237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium damselae",5.55011426705844,0,0,13.8532580810672,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus agilis",0,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella melaninogenica",0,0,0,0,0,0,0,27.2614622057001,0,0,0,37.8956754346857,0,0,0,0
"Psychrobacter pulmonis",8.16193274567418,0,19.0985485103132,0,0,0,0,0,0,0,0,0,0,12.7624536846439,0,0
"Panacagrimonas perspica",0,0,0,0,0,0,0,0,0,0,0,4.90414623272403,0,0,0,0
"Bacillus badius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5801447776629
"Candidatus Nitrososphaera SCA1170",18.2827293503102,13.1270511017346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprococcus eutactus",1.30590923930787,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10273081924578,0
"Chitinophaga arvensicola",5.22363695723147,13.1270511017346,0,0,0,0,0,0,0,0,0,0,0,7.82214903252367,0,0
"Roseburia faecis",0,0,0,0,0,0,0,44.6096654275093,0,0,0,0,0,0,0,0
"Deinococcus alpinitundrae",3.10153444335619,0,0,0,0,0,0,0,0,4.96770988574267,0,0,0,0,0,0
"Prevotella copri",0,0,0,10.2616726526424,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus reuteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1995863495346
"Serratia marcescens",0,0,0,0,0,0,0,0,0,63.5866865375062,0,0,0,35.4055166735282,0,0
"Lactococcus garvieae",0,0,0,0,0,0,0,0,0,0,0,0,25.503355704698,0,0,0
"Akkermansia muciniphila",0,2.65666510392249,0,17.188301693176,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia mucilaginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82419855222337
"Acinetobacter guillouiae",0,0,0,27.7065161621344,0,0,0,0,0,0,0,0,14.3176733780761,0,0,0
"Prevotella ruminicola",0,0,0,0,5.32859680284192,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides plebeius",0,0,0,11.0312981015906,0,0,0,0,0,0,0,0,0,0,0,0
"Aggregatibacter segnis",0,0,0,0,0,0,0,37.1747211895911,0,0,0,29.8707088720464,0,0,0,0
"Bacteroides ovatus",0,0,0,20.2668034889687,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas nitroreducens",0,0,0,8.72242175474602,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus longiquaesitum",0,13.595874355368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
