"Class","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Bacilli",19875,23376,33996,8540,21197,8287,25143,8322,12048,22364,12840,5761,24757,10476,2966,23022
"Gammaproteobacteria",2465,1542,322,4064,1072,793,698,1141,23652,4109,956,2422,1200,20326,39644,2719
"Acidobacteriia",660,544,0,263,16,0,0,0,26,65,0,27,337,377,0,15
"Bacteroidia",73,0,39,1019,12,0,3,37,0,0,0,159,0,0,0,337
"Thermoleophilia",2458,2153,110,672,0,37,0,0,0,620,43,135,365,971,0,67
"Opitutae",0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,7
"[Saprospirae]",663,635,23,47,0,0,0,0,0,0,0,0,0,60,0,0
"Alphaproteobacteria",2797,3050,193,2604,149,26,0,25,132,661,0,393,430,1491,126,274
"[Spartobacteria]",1212,1348,0,178,0,0,0,0,0,260,0,0,132,133,0,0
"Gitt-GS-136",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betaproteobacteria",1487,2111,97,1732,1168,85,292,125,330,2435,128,463,227,493,484,2557
"Gemmatimonadetes",439,223,85,225,0,0,17,0,0,110,0,0,0,189,0,56
"Clostridia",686,215,94,1677,200,229,164,206,238,391,301,1673,677,407,559,645
"Erysipelotrichi",0,0,0,59,0,16,0,0,0,0,0,0,0,0,0,12
"Actinobacteria",2538,2512,88,782,130,75,30,44,0,466,0,1178,0,734,0,275
"Planctomycetia",365,338,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Deltaproteobacteria",417,463,0,749,0,0,0,20,0,172,0,109,2,109,0,44
"[Pedosphaerae]",247,160,0,58,0,0,0,0,0,63,0,0,0,83,0,0
"Armatimonadia",23,51,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"iii1-8",243,0,0,60,0,0,0,0,0,40,0,22,0,96,0,0
"[Chloracidobacteria]",779,682,0,235,0,0,0,0,0,7,0,0,0,108,0,0
"MB-A2-108",161,151,0,14,0,0,0,0,0,69,0,0,0,0,0,0
"Gemm-1",207,121,0,252,0,0,0,0,0,0,0,0,0,99,0,0
"Acidimicrobiia",66,115,0,49,0,0,0,0,0,48,0,46,0,77,0,0
"Fusobacteriia",0,0,0,24,0,0,0,25,0,0,0,0,0,0,0,0
"Solibacteres",147,143,0,0,0,0,0,0,0,56,0,73,0,60,0,0
"Rubrobacteria",408,415,21,185,48,0,41,43,33,0,0,108,0,166,0,25
"Nitrospira",189,227,0,0,0,0,0,0,0,21,0,0,0,0,0,13
"Holophagae",11,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0
"Cytophagia",0,82,0,183,0,0,0,3,0,0,16,30,0,0,0,0
"Elusimicrobia",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriia",27,36,0,40,89,0,0,0,0,0,0,0,0,0,0,38
"Mollicutes",0,25,0,14,0,0,0,0,0,0,9,0,0,0,0,0
"GN05",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Phycisphaerae",138,161,0,12,0,0,0,0,0,0,0,7,0,0,0,0
"Acidobacteria-6",566,372,0,196,0,0,0,0,0,0,0,0,0,88,0,0
"Synechococcophycideae",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Thermomicrobia",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thaumarchaeota",304,283,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerolineae",6,0,0,87,9,0,0,0,0,0,0,0,0,0,0,2
"TK10",0,88,0,86,0,0,0,0,0,31,0,0,25,14,0,0
"Coriobacteriia",0,0,0,0,0,0,0,8,0,0,0,74,0,0,0,0
"Sva0725",29,0,0,74,0,0,0,0,4,22,0,0,0,0,0,36
"Gemm-3",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
"Ktedonobacteria",29,0,0,10,0,0,0,0,0,0,0,7,0,0,0,0
"Chthonomonadetes",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacteriia",104,39,0,35,0,0,0,0,0,0,0,0,0,68,0,0
"OPB41",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"TK17",27,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0
"Acidobacteria-5",49,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TA18",0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistia",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
"0319-6E2",147,116,0,48,0,0,0,0,0,35,0,0,0,27,0,0
"wb1-A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Epsilonproteobacteria",0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin6529",289,400,0,0,0,0,0,0,0,0,0,0,0,99,0,0
"PAUC37f",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10
"4C0d-2",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BD7-11",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"DA052",0,55,0,0,0,0,0,0,0,0,0,45,54,26,0,0
"PRR-12",7,2,0,7,0,0,0,0,0,6,0,0,0,0,0,0
"[Brocadiae]",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Gemm-5",0,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0
"S035",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"[Fimbriimonadia]",0,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"TM7-1",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSV26",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"OPB50",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPC102",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Deinococci",41,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"[Rhodothermi]",0,0,0,55,0,0,0,0,0,0,0,4,0,0,0,0
"C0119",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobiae",0,17,0,67,0,0,0,0,0,0,0,0,0,0,0,0
"SC3",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitriliruptoria",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM190",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TM1",0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
"ABS-6",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
