"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Lactococcus",4878,19973,31322,6201,2489,746,1291,1206,3837,8562,11001,928,5336,2402,974,15940
"Dyella",49,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc",376,429,571,160,406,215,608,200,321,217,105,324,1888,92,625,0
"Prevotella",0,0,14,89,9,0,0,22,0,0,0,113,0,0,0,0
"Phenylobacterium",147,125,0,110,0,0,0,0,0,0,0,0,0,48,0,0
"Ellin506",74,48,0,0,0,0,0,0,0,49,0,0,0,22,0,0
"Pseudomonas",317,352,63,497,190,92,84,84,190,116,171,355,204,0,246,567
"Steroidobacter",0,53,0,217,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,23,0,75,0,0,0,0,0,0,0,65,0,13,0,0
"Terriglobus",60,133,0,50,0,0,0,0,0,30,0,0,0,61,0,0
"Acinetobacter",200,66,0,369,208,22,46,47,0,49,0,272,32,0,0,193
"Achromobacter",46,36,16,79,0,0,0,0,0,0,0,41,0,0,0,15
"Gemmata",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia",164,206,0,57,0,0,0,0,0,43,0,142,177,0,106,0
"Actinomyces",22,0,0,0,27,0,30,0,0,0,0,164,0,0,0,0
"Staphylococcus",65,0,0,60,89,94,0,74,0,47,0,62,0,73,0,61
"Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"u114",0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"Turicibacter",44,0,0,236,0,0,0,0,38,0,31,0,0,0,0,0
"Propionibacterium",31,0,0,0,20,0,0,0,0,0,0,48,0,13,0,11
"Rubrobacter",408,415,21,185,48,0,41,43,33,0,0,108,0,166,0,25
"Bacteroides",0,0,0,369,0,0,0,15,0,0,0,23,0,0,0,0
"Lactobacillus",2405,170,184,228,9271,127,2094,131,1029,2235,25,675,2137,1383,0,899
"Rhodococcus",0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium",397,53,88,54,84,127,202,351,23035,2160,432,755,749,19307,38785,45
"Rhodocytophaga",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Geothrix",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Stenotrophomonas",128,32,0,85,49,0,0,45,0,65,0,38,0,42,0,80
"Bulleidia",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"A17",32,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"Rhodoplanes",248,367,0,377,0,0,0,0,0,102,0,0,107,422,0,0
"DA101",1075,1276,0,178,0,0,0,0,0,211,0,0,132,111,0,0
"Bacillus",57,163,0,94,0,0,0,0,46,48,0,230,0,0,0,34
"Serratia",64,95,47,110,74,76,0,57,0,128,0,109,0,86,0,0
"Nitrosovibrio",68,83,0,387,0,0,0,0,0,0,0,0,0,105,0,0
"Clostridium",35,0,0,191,66,148,98,138,152,191,173,419,331,179,279,0
"Buchnera",0,0,0,43,0,0,0,0,0,0,0,0,0,0,3,0
"Chryseobacterium",27,30,0,40,72,0,0,0,0,0,0,0,0,0,0,0
"Phyllobacterium",76,103,0,94,97,0,0,0,87,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,22,0,0,0,0,0,0,0,7,0,0,0,0
