"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Lactobacillales",19080,22506,33830,7690,20963,8026,25077,8112,11964,22101,12768,5299,24603,10251,2939,22670
"Xanthomonadales",882,608,60,1788,90,0,18,45,55,824,133,287,154,397,40,122
"Acidobacteriales",660,544,0,263,16,0,0,0,26,65,0,27,337,377,0,15
"Bacteroidales",73,0,39,1019,12,0,3,37,0,0,0,159,0,0,0,337
"Solirubrobacterales",1228,1193,0,497,0,0,0,0,0,442,43,73,365,707,0,67
"Opitutales",0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,7
"[Saprospirales]",663,635,23,47,0,0,0,0,0,0,0,0,0,60,0,0
"Enterobacteriales",343,385,47,335,500,334,207,482,348,719,103,365,27,378,555,1636
"Caulobacterales",243,191,0,110,0,0,0,0,0,24,0,0,0,48,0,0
"Rhodospirillales",518,462,0,339,0,0,0,0,19,130,0,37,116,207,0,0
"[Chthoniobacterales]",1212,1348,0,178,0,0,0,0,0,260,0,0,132,133,0,0
"Pseudomonadales",601,418,88,898,398,269,130,143,190,197,171,711,236,59,246,783
"Pasteurellales",0,23,0,107,0,20,127,66,0,0,0,132,0,13,0,0
"Neisseriales",253,772,0,85,1010,30,292,0,330,2043,86,154,50,113,264,2243
"Gemmatimonadales",61,0,0,186,0,0,17,0,0,0,0,0,0,40,0,0
"Clostridiales",686,202,94,1479,200,229,164,206,238,391,301,1673,677,407,559,645
"Gaiellales",1230,960,110,175,0,37,0,0,0,178,0,62,0,264,0,0
"Erysipelotrichales",0,0,0,59,0,16,0,0,0,0,0,0,0,0,0,12
"Burkholderiales",754,918,80,765,107,55,0,55,0,310,42,284,177,211,210,222
"Gemellales",0,0,0,56,10,9,0,0,0,0,0,14,0,0,0,0
"Gemmatales",309,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxococcales",181,262,0,360,0,0,0,20,0,99,0,51,2,72,0,0
"N1423WL",239,56,85,0,0,0,0,0,0,110,0,0,0,122,0,0
"Actinomycetales",2321,2380,88,770,130,75,30,0,0,459,0,250,0,689,0,275
"[Pedosphaerales]",247,160,0,58,0,0,0,0,0,63,0,0,0,83,0,0
"FW68",0,51,0,0,0,0,0,0,0,0,0,0,0,37,0,0
"GW-28",7,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0
"DS-18",118,0,0,60,0,0,0,0,0,0,0,22,0,23,0,0
