"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Streptococcaceae",796.278158667972,3121.26894827317,23928.1894576012,1616.72652642381,1633.51095322676,747.798238590873,896.221094190638,1788.10408921933,1865.33787068546,4253.35320417288,10176.6882516189,516.27284886313,2387.47203579418,1006.17538081515,698.959687906372,8257.49741468459
"Xanthomonadaceae",124.877571008815,77.0432880137522,45.8365164247517,261.416110826065,53.2859680284192,0,0,55.7620817843867,0,298.559364133135,123.034227567068,52.1622826571556,20.5816554809843,123.095924248662,0,63.081695966908
"Leuconostocaceae",61.3777342474698,67.0417252695734,436.210847975554,58.2349923037455,305.50621669627,185.748598879103,379.018612521151,247.831474597274,156.052503646087,107.799304520616,177.613320999075,144.449398127508,895.749440715884,37.8756689995883,473.992197659298,11.8924508790072
"Acidobacteriaceae",56.4805746000653,66.8854508516956,0,25.3976398152899,9.47306098283008,0,0,0,12.6397666504618,32.2901142573274,0,12.037449843959,80.5369127516779,97.9827089337176,0,7.75594622543951
"Prevotellaceae",0,0,10.6951871657754,22.8322216521293,5.32859680284192,0,0,27.2614622057001,0,0,0,50.3789567543469,0,0,0,0
"Sinobacteraceae",19.0989226248776,17.9715580559462,0,197.28065674705,0,0,10.1522842639594,0,26.7379679144385,110.779930452062,0,75.7913508693714,48.3221476510067,40.3458213256484,26.0078023407022,0
"S24-7",10.120796604636,0,19.0985485103132,97.2293483837866,0,0,0,0,0,0,0,0,0,0,0,174.250258531541
"Opitutaceae",0,0,4.58365164247517,6.92662904053361,0,0,0,0,0,0,0,0,0,0,0,3.61944157187177
"Chitinophagaceae",106.268364348678,99.2342553523988,17.5706646294882,12.0574653668548,0,0,0,0,0,0,0,0,0,24.7015232606011,0,0
"Enterobacteriaceae",55.9908586353248,60.1656508829505,35.9052711993889,85.9415084658799,296.03315571344,267.413931144916,116.751269035533,597.273853779431,169.17841516772,357.178340784898,95.2821461609621,162.728488631297,12.0805369127517,155.619596541787,360.858257477243,845.915201654602
"Lactobacillaceae",2191.64218086843,287.857477730895,1027.50190985485,243.971267316573,10034.9319123742,2112.08967173739,11022.5606316977,4846.34448574969,3644.62809917355,6486.33879781421,1142.46068455134,1603.65581810076,7391.49888143177,3111.1568546727,498.699609882965,3369.70010341262
"Caulobacteraceae",39.6669931439765,29.8484138146585,0,28.2195997947665,0,0,0,0,0,11.9225037257824,0,0,0,19.7612186084809,0,0
"Acetobacteraceae",32.3212536728697,12.0331301765901,0,18.2144689584402,0,0,0,0,0,9.43864878291108,0,0,20.5816554809843,30.465212021408,0,0
"[Chthoniobacteraceae]",197.845249755142,210.657915299266,0,45.6644433042586,0,0,0,0,0,129.16045702931,0,0,59.0604026845638,54.7550432276657,0,0
"Rhodospirillaceae",52.2363695723147,60.1656508829505,0,68.7532067727039,0,0,0,0,9.23675255226058,55.1415797317437,0,16.4957646009808,31.3199105145414,54.7550432276657,0,0
"Pseudomonadaceae",51.7466536075743,55.0085950929833,48.1283422459893,127.501282709082,112.492599171107,73.6589271417134,47.3773265651438,104.089219330855,92.3675255226058,57.625434674615,158.186864014801,158.270173874276,91.2751677852349,0,159.947984395319,293.174767321613
"Pasteurellaceae",0,3.59431161118925,0,19.2406362237045,0,0,0,37.1747211895911,0,0,0,58.8497547926884,0,5.35199670646357,0,0
"Neisseriaceae",41.2993796931113,120.643850601657,0,21.8060543868651,597.986974541149,24.0192153722979,164.692611393119,0,160.427807486631,1014.90312965723,79.5559666975023,68.6580472581364,22.3713646532439,46.5212021407987,171.651495448635,1159.77249224405
"Moraxellaceae",46.3597779954293,10.3141115799344,19.0985485103132,102.87326834274,123.149792776791,141.713370696557,25.9447264523407,73.1102850061958,0,40.2384500745157,0,158.716005349978,14.3176733780761,24.2898312062577,0,111.685625646329
"Gaiellaceae",192.621612797911,150.023441162682,84.0336134453782,44.8948178553104,0,29.6236989591673,0,0,0,85.444610034774,0,27.6415514935355,0,90.1605599011939,0,0
"Erysipelotrichaceae",0,0,0,15.1359671626475,0,12.8102481985589,0,0,0,0,0,0,0,0,0,6.2047569803516
"Alcaligenaceae",10.6105125693764,5.62587904360056,12.2230710466005,30.5284761416111,0,0,0,0,0,0,0,18.2790905037896,0,4.94030465212021,0,7.75594622543951
"Gemellaceae",0,0,0,14.3663417136993,5.9206631142688,7.20576461168935,0,0,0,0,0,6.24164065983059,0,0,0,0
"Gemmataceae",19.915115899445,9.68901390842319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiaceae",26.7711394058113,32.1925300828254,0,14.6228835300154,0,0,0,0,0,21.3611525086935,0,63.3080695497102,79.1946308724832,0,68.9206762028609,0
"Actinomycetaceae",3.59125040809664,0,0,0,15.9857904085258,0,16.9204737732657,0,0,0,0,73.1163620151583,0,0,0,0
"Ruminococcaceae",22.8534116878877,17.3464603844351,0,58.4915341200616,0,9.60768614891914,0,0,8.75060768108897,6.45802285146548,12.9509713228492,101.203744984396,10.738255033557,13.5858377933306,0,28.4384694932782
"Staphylococcaceae",10.6105125693764,0,0,15.3925089789636,52.6939017169923,75.2602081665333,0,91.6976456009914,0,23.3482364629906,0,27.6415514935355,0,30.0535199670646,0,31.540847983454
"Sphingomonadaceae",91.9033627162912,84.8570089076418,106.951871657754,82.8630066700872,30.7874481941978,0,0,0,0,136.115250869349,0,0,0,79.0448744339234,0,0
"Alteromonadaceae",0,0,0,4.36121087737301,0,0,0,0,0,0,0,0,0,0,0,0
"EB1017",10.7737512242899,7.81372089388967,0,12.5705489994869,0,0,0,0,0,0,0,20.5082478823005,0,10.7039934129271,0,0
"Fusobacteriaceae",0,0,0,6.15700359158543,0,0,0,30.9789343246593,0,0,0,0,0,0,0,0
"Turicibacteraceae",7.18250081619327,0,0,60.54386865059,0,0,0,0,18.4735051045212,0,28.677150786309,0,0,0,0,0
"Propionibacteriaceae",5.06039830231799,0,0,0,11.8413262285376,0,0,0,0,0,0,21.3999108337049,0,5.35199670646357,0,5.68769389865564
"Rubrobacteraceae",66.6013712047013,64.8538834192843,16.0427807486631,47.460236018471,28.4191829484902,0,23.1246474901297,53.2837670384139,16.0427807486631,0,0,48.1497993758359,0,68.3408810209963,0,12.9265770423992
"0319-6A21",25.7917074763304,18.4403813095796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidaceae",0,0,0,94.663930220626,0,0,0,18.5873605947956,0,0,0,10.2541239411502,0,0,0,0
"Nocardiaceae",0,0,0,24.1149307337096,0,0,0,0,0,0,0,0,0,0,0,0
"Holophagaceae",1.79562520404832,0,0,0,0,0,0,0,0,5.46448087431694,0,2.67498885421311,0,0,0,0
"Vibrionaceae",64.805746000653,8.28254414752305,67.2268907563026,33.8635197537199,49.7335701598579,101.681345076061,113.931190073322,434.944237918216,11198.347107438,1073.02533532042,446.808510638298,336.602764155149,335.123042505593,7948.53849320708,25217.8153446034,23.2678386763185
"Cytophagaceae",0,12.8145022659791,0,46.9471523858389,0,0,0,3.71747211895911,0,0,14.8011100832563,13.3749442710655,0,0,0,0
"Intrasporangiaceae",21.3842637936663,17.3464603844351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pirellulaceae",6.85602350636631,0,0,0,0,0,0,0,0,3.47739692001987,0,0,0,0,0,0
"Aeromonadaceae",15.0179562520405,0,29.7937356760886,26.4238070805541,0,0,0,63.1970260223049,0,30.7998012916046,24.9768732654949,0,0,17.7027583367641,0,39.2967942088935
"Hyphomicrobiaceae",79.66046359778,104.391311142366,0,165.469471523858,0,20.8166533226581,0,0,0,65.076999503229,0,0,47.8747203579418,188.554960889255,0,0
