"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Lactococcus",796.278158667972,3121.26894827317,23928.1894576012,1590.81580297589,1473.6530491415,597.277822257807,728.144388042865,1494.42379182156,1865.33787068546,4253.35320417288,10176.6882516189,413.731609451627,2387.47203579418,988.88431453273,633.289986996099,8241.98552223372
"Dyella",7.99869409076069,5.78215346147836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leuconostoc",61.3777342474698,67.0417252695734,436.210847975554,41.0466906105695,240.378922439313,172.137710168135,342.921601804851,247.831474597274,156.052503646087,107.799304520616,97.1322849213691,144.449398127508,844.742729306488,37.8756689995883,406.371911573472,0
"Prevotella",0,0,10.6951871657754,22.8322216521293,5.32859680284192,0,0,27.2614622057001,0,0,0,50.3789567543469,0,0,0,0
"Phenylobacterium",23.9960822722821,19.5343022347242,0,28.2195997947665,0,0,0,0,0,0,0,0,0,19.7612186084809,0,0
"Ellin506",12.0796604635978,7.50117205813408,0,0,0,0,0,0,0,24.3417784401391,0,0,0,9.05722519555373,0,0
"Pseudomonas",51.7466536075743,55.0085950929833,48.1283422459893,127.501282709082,112.492599171107,73.6589271417134,47.3773265651438,104.089219330855,92.3675255226058,57.625434674615,158.186864014801,158.270173874276,91.2751677852349,0,159.947984395319,293.174767321613
"Steroidobacter",0,8.28254414752305,0,55.6695741405849,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,3.59431161118925,0,19.2406362237045,0,0,0,0,0,0,0,28.979045920642,0,5.35199670646357,0,0
"Terriglobus",9.79431929480901,20.7844975777465,0,12.827090815803,0,0,0,0,0,14.903129657228,0,0,0,25.1132153149444,0,0
"Acinetobacter",32.6477309826967,10.3141115799344,0,94.663930220626,123.149792776791,17.6140912730184,25.9447264523407,58.2403965303594,0,24.3417784401391,0,121.266161390994,14.3176733780761,0,0,99.7931747673216
"Achromobacter",7.50897812602024,5.62587904360056,12.2230710466005,20.2668034889687,0,0,0,0,0,0,0,18.2790905037896,0,0,0,7.75594622543951
"Gemmata",3.42801175318315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkholderia",26.7711394058113,32.1925300828254,0,14.6228835300154,0,0,0,0,0,21.3611525086935,0,63.3080695497102,79.1946308724832,0,68.9206762028609,0
"Actinomyces",3.59125040809664,0,0,0,15.9857904085258,0,16.9204737732657,0,0,0,0,73.1163620151583,0,0,0,0
"Staphylococcus",10.6105125693764,0,0,15.3925089789636,52.6939017169923,75.2602081665333,0,91.6976456009914,0,23.3482364629906,0,27.6415514935355,0,30.0535199670646,0,31.540847983454
"Coprobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2047569803516
"u114",0,0,0,0,0,0,0,30.9789343246593,0,0,0,0,0,0,0,0
"Turicibacter",7.18250081619327,0,0,60.54386865059,0,0,0,0,18.4735051045212,0,28.677150786309,0,0,0,0,0
"Propionibacterium",5.06039830231799,0,0,0,11.8413262285376,0,0,0,0,0,0,21.3999108337049,0,5.35199670646357,0,5.68769389865564
"Rubrobacter",66.6013712047013,64.8538834192843,16.0427807486631,47.460236018471,28.4191829484902,0,23.1246474901297,53.2837670384139,16.0427807486631,0,0,48.1497993758359,0,68.3408810209963,0,12.9265770423992
"Bacteroides",0,0,0,94.663930220626,0,0,0,18.5873605947956,0,0,0,10.2541239411502,0,0,0,0
"Lactobacillus",392.588965066928,26.5666510392249,140.565317035905,58.4915341200616,5489.0467732386,101.681345076061,1181.04906937394,162.329615861215,500.243072435586,1110.28315946349,23.1267345050879,300.936246098975,956.152125279642,569.370111156855,0,464.839710444674
"Rhodococcus",0,0,0,24.1149307337096,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium",64.805746000653,8.28254414752305,67.2268907563026,13.8532580810672,49.7335701598579,101.681345076061,113.931190073322,434.944237918216,11198.347107438,1073.02533532042,399.629972247919,336.602764155149,335.123042505593,7948.53849320708,25217.8153446034,23.2678386763185
"Rhodocytophaga",0,0,0,1.53925089789636,0,0,0,0,0,0,0,0,0,0,0,0
"Geothrix",0,0,0,0,0,0,0,0,0,0,0,2.67498885421311,0,0,0,0
"Stenotrophomonas",20.8945478289259,5.00078137208939,0,21.8060543868651,29.0112492599171,0,0,55.7620817843867,0,32.2901142573274,0,16.941596076683,0,17.2910662824208,0,41.3650465356774
"Bulleidia",0,0,0,2.05233453052848,0,0,0,0,0,0,0,0,0,0,0,0
"A17",5.22363695723147,0,0,0,0,0,0,0,0,3.47739692001987,0,0,0,0,0,0
"Rhodoplanes",40.4831864185439,57.3527113611502,0,96.7162647511545,0,0,0,0,0,50.6706408345753,0,0,47.8747203579418,173.734046932894,0,0
"DA101",175.481554031995,199.406157212064,0,45.6644433042586,0,0,0,0,0,104.81867858917,0,0,59.0604026845638,45.697818032112,0,0
"Bacillus",9.30460333006856,25.4727301140803,0,24.1149307337096,0,0,0,0,22.362664073894,23.8450074515648,0,102.541239411502,0,0,0,17.5801447776629
"Serratia",10.4472739144629,14.8460696983904,35.9052711993889,28.2195997947665,43.8129070455891,60.8486789431546,0,70.6319702602231,0,63.5866865375062,0,48.5956308515381,0,35.4055166735282,0,0
"Nitrosovibrio",11.1002285341169,12.9707766838569,0,99.281682914315,0,0,0,0,0,0,0,0,0,43.2276657060519,0,0
"Clostridium",5.71335292197192,0,0,48.9994869163674,39.0763765541741,118.494795836669,55.2735476593345,171.003717472119,73.8940204180846,94.8832588176851,160.037002775208,186.803388319215,148.098434004474,73.6928777274599,181.404421326398,0
"Buchnera",0,0,0,11.0312981015906,0,0,0,0,0,0,0,0,0,0,1.95058517555267,0
"Chryseobacterium",4.40744368266405,4.6882325363338,0,10.2616726526424,42.6287744227354,0,0,0,0,0,0,0,0,0,0,0
"Phyllobacterium",12.4061377734247,16.0962650414127,0,24.1149307337096,57.4304322084074,0,0,0,42.29460379193,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,5.64391995895331,0,0,0,0,0,0,0,3.12082032991529,0,0,0,0
"Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,4.90414623272403,0,0,0,0
"Peptoniphilus",4.73392099249102,0,0,0,0,0,0,0,0,2.9806259314456,0,0,0,3.29353643474681,0,0
"Dermacoccus",13.3855697029056,7.65744647601188,0,0,0,0,0,0,0,20.8643815201192,0,0,0,21.4079868258543,0,0
"Roseburia",11.9164218086843,12.5019534302235,42.7807486631016,55.1564905079528,0,0,21.9966159052454,44.6096654275093,0,0,0,0,0,0,58.51755526658,0
"Pedomicrobium",0,0,0,0,0,0,0,0,0,14.4063586686538,0,0,0,14.8209139563606,0,0
"Methylobacterium",11.4267058439438,11.5643069229567,0,15.1359671626475,0,0,0,0,0,5.46448087431694,0,0,0,12.7624536846439,0,20.6825232678387
"Agrobacterium",0,10.0015627441788,0,29.7588506926629,0,0,0,0,0,19.3740685543964,0,20.5082478823005,0,0,0,0
"Arthrobacter",10.9369898792034,16.2525394592905,59.5874713521773,39.5074397126732,0,60.0480384307446,0,0,0,0,0,16.941596076683,0,0,0,23.7849017580145
"Aquicella",6.69278485145282,0,0,0,0,0,0,0,0,20.367610531545,0,16.941596076683,0,9.05722519555373,0,0
"Cloacibacterium",0,0.93764650726676,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5460186142709
"Halomonas",0,0,0,0,0,0,7.89622109419064,0,0,0,0,0,0,0,0,0
"Brochothrix",15.0179562520405,25.6290045319581,67.9908326967151,38.737814263725,46.7732386027235,63.2506004803843,0,92.9368029739778,0,25.8320914058619,0,0,36.241610738255,0,17.555266579974,0
"Thermomonas",11.4267058439438,16.8776371308017,0,47.7167778347871,0,0,0,0,0,76.9995032290115,0,0,0,27.5833676410045,0,0
"Candidatus Solibacter",17.1400587659158,0,0,0,0,0,0,0,0,16.3934426229508,0,23.1832367365136,0,15.6442980650473,0,0
"Kaistobacter",55.9908586353248,39.5374277230817,82.5057295645531,70.0359158542843,30.7874481941978,0,0,0,0,83.9542970690512,0,0,0,79.0448744339234,0,0
"Oscillospira",4.73392099249102,7.0323488045007,0,38.2247306310929,0,0,0,0,0,0,0,0,10.738255033557,13.5858377933306,0,7.23888314374354
"Candidatus Nitrososphaera",49.624551093699,44.2256602594155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhizobium",5.55011426705844,8.59509298327864,0,0,0,0,0,0,0,0,0,0,0,0,0,15.511892450879
"Flavisolibacter",11.5899444988573,12.6582278481013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodanobacter",16.9768201110023,14.6897952805126,0,26.6803488968702,0,0,0,0,0,29.806259314456,0,0,0,20.1729106628242,0,11.8924508790072
"Mycoplasma",0,0,0,0,0,0,0,0,0,0,8.32562442183164,0,0,0,0,0
"Faecalibacterium",3.10153444335619,0,0,11.8009235505387,0,9.60768614891914,0,0,0,6.45802285146548,0,98.0829246544806,0,0,0,0
"Carnobacterium",18.2827293503102,14.8460696983904,0,0,80.5210183540557,380.304243394716,40.0451212633954,0,0,0,0,0,50.1118568232662,20.1729106628242,21.4564369310793,0
"[Prevotella]",0,0,0,9.23550538737814,0,0,0,0,0,0,0,10.2541239411502,0,0,0,0
"Streptococcus",0,0,0,25.910723447922,159.857904085258,150.520416333067,168.076706147772,293.68029739777,0,0,0,102.541239411502,0,17.2910662824208,65.6697009102731,15.511892450879
"Beijerinckia",0,0,0,0,0,0,0,0,0,0,0,23.1832367365136,35.3467561521253,39.5224372169617,0,0
"Edaphobacter",20.7313091740124,14.2209720268792,0,0,0,0,0,0,0,17.3869846000994,0,0,35.7941834451902,0,0,0
"Hyphomicrobium",0,0,0,20.2668034889687,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,0,0,6.15700359158543,21.9064535227946,44.0352281825461,0,21.0656753407683,0,0,0,58.8497547926884,0,0,0,0
"Nocardioides",0,16.8776371308017,0,0,0,0,0,0,0,0,0,0,0,21.4079868258543,0,0
"Vagococcus",0,0,0,0,34.339846062759,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces",12.2428991185113,16.5650882950461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia",0,0,0,13.8532580810672,42.0367081113085,64.0512409927943,0,167.28624535316,0,0,0,0,0,0,80.6241872561769,0
"Lysobacter",0,0,0,9.74858902001026,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,21.8060543868651,0,0,0,0,0,0,0,0,0,0,0,0
"Janthinobacterium",0,0,0,0,30.7874481941978,44.0352281825461,0,0,0,35.7675111773473,38.8529139685477,45.0289790459207,0,0,67.6202860858258,46.0186142709411
"Sphingopyxis",2.77505713352922,0,24.4461420932009,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0,9.91325898389096,0,0,0,32.9915292019617,0,0,0,0
"Sutterella",3.10153444335619,0,0,10.2616726526424,0,0,0,0,0,0,0,0,0,4.94030465212021,0,0
"Paenibacillus",3.26477309826967,0,0,0,0,0,0,0,0,0,0,0,12.5279642058166,6.17538081515027,0,13.4436401240951
"Vibrio",0,0,0,11.0312981015906,0,0,0,0,0,0,47.1785383903793,0,0,0,0,0
"Devosia",10.9369898792034,19.5343022347242,0,30.271934325295,0,0,0,0,0,0,0,0,0,0,0,0
"Gardnerella",5.87659157688541,0,0,3.07850179579271,0,0,0,0,0,0,0,11.5916183682568,0,0,0,0
"Bifidobacterium",0,0,0,0,0,0,0,54.5229244114003,0,0,0,378.065091395453,0,0,0,0
"Chitinophaga",13.3855697029056,20.0031254883576,0,0,0,0,0,0,0,0,0,0,0,7.82214903252367,0,0
"Paracoccus",10.7737512242899,0,0,0,0,0,0,0,0,0,0,0,0,9.88060930424043,0,0
"Symbiobacterium",2.61181847861574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia",0,0,0,30.015392508979,0,0,0,0,0,0,0,52.1622826571556,17.8970917225951,0,0,34.6432264736298
"Thermobispora",0,0,0,13.5967162647512,0,0,0,0,0,0,0,0,0,0,0,0
"Sediminibacterium",17.7930133855697,9.84528832630098,0,0,0,0,0,0,0,0,0,0,0,16.8793742280774,0,0
"Dehalobacter_Syntrophobotulus",0,0,0,2.30887634684454,0,0,0,0,0,0,0,0,0,0,0,0
