"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Firmicutes",3357.49265426053,3686.66979215502,26042.7807486631,2643.15033350436,12668.442865601,6831.06485188151,14273.5476593345,10567.5340768278,5972.77588721439,11304.0238450075,12156.3367252544,3316.09451627285,11379.8657718121,4480.44462741869,2291.93758127438,12243.5367114788
"Proteobacteria",1188.37740777016,1127.20737615252,472.116119174943,2404.05336069779,1414.44641799882,723.779023218575,558.375634517767,1624.53531598513,11722.8974234322,3678.09239940388,1002.77520814061,1514.04369148462,835.346756152126,9238.36969946481,26172.9518855657,2907.96277145812
"Acidobacteria",411.034933072152,287.701203313018,0,219.343252950231,9.47306098283008,0,0,0,14.5843461351483,99.8509687034278,0,82.9246544806064,174.944071588367,321.531494442157,0,38.2626680455016
"Bacteroidetes",146.914789422135,123.769338959212,47.3644003055768,355.823499230375,59.7986974541149,0,1.69204737732657,49.5662949194548,0,0,14.8011100832563,86.0454748105217,0,52.696582955949,0,193.898655635988
"Actinobacteria",934.051583414953,842.475386779184,167.303284950344,440.995382247306,105.387803433985,89.671737389912,40.0451212633954,117.719950433705,16.0427807486631,597.615499254844,39.7779833487512,687.026304057067,163.31096196868,804.446274186908,0,189.76215098242
"Verrucomicrobia",244.368266405485,238.318487263635,4.58365164247517,84.6587993842996,0,0,0,0,0,160.457029309488,0,0,59.0604026845638,88.9254837381639,0,3.61944157187177
"Chloroflexi",69.8661443029709,79.8562275355524,0,46.9471523858389,5.32859680284192,0,0,0,0,21.3611525086935,0,8.91662951404369,11.1856823266219,46.5212021407987,0,1.03412616339193
"Gemmatimonadetes",109.533137446947,57.8215346147836,64.935064935065,145.459209851206,0,0,9.58826847151721,0,0,54.6448087431694,0,0,0,118.567311650885,0,28.9555325749742
"Planctomycetes",89.2915442376755,77.9809345210189,0,6.41354540790149,0,0,0,0,0,3.47739692001987,0,5.7958091841284,0,0,0,0
"Armatimonadetes",31.1785830884753,33.28645100797,0,12.3140071831709,0,0,0,6.19578686493185,0,17.3869846000994,0,0,0,26.3482914779745,0,0
"Fusobacteria",0,0,0,6.15700359158543,0,0,0,30.9789343246593,0,0,0,0,0,0,0,0
"Nitrospirae",30.8521057786484,35.4742928582591,0,0,0,0,0,0,0,10.4321907600596,0,0,0,0,0,6.72182006204757
"Elusimicrobia",5.55011426705844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tenericutes",0,3.90686044694483,0,3.59158542842483,0,0,0,0,0,0,8.32562442183164,0,0,0,0,0
"Spirochaetes",0,0,0,0,0,0,0,0,0,0,0,0.891662951404369,0,0,0,0
"Cyanobacteria",1.30590923930787,0,0,0,0,0,0,0,0,0,0,1.33749442710655,0,0,0,0
"WPS-2",7.67221678093372,11.8768557587123,0,6.41354540790149,0,0,0,0,0,0,0,24.9665626393223,0,0,0,0
"Chlorobi",1.30590923930787,0,0,1.02616726526424,0,0,0,0,0,0,0,0,0,0,0,0
"Crenarchaeota",49.624551093699,44.2256602594155,0,3.84812724474089,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0,0,0,0,0,0,0,0,0,0,0,5.7958091841284,0,0,0,0
"NC10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.30713547052741
"WS3",1.14267058439438,0.312548835755587,0,1.79579271421242,0,0,0,0,0,2.9806259314456,0,0,0,0,0,0
"TM7",6.36630754162586,1.40646976090014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NKB19",0,0,0,2.30887634684454,0,0,0,0,0,0,0,4.45831475702185,0,0,0,0
"[Thermi]",6.69278485145282,0,0,0,0,0,0,0,0,4.96770988574267,0,0,0,0,0,0
"FBP",1.79562520404832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD3",3.59125040809664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
